Fraktion/Gruppe,Bezeichnung,nichtabgegeben
FDP,Jimmy Schulz,0.9910714285714286
SPD,Marcus Held,0.875
CDU/CSU,Dr. Angela Merkel,0.7946428571428571
AfD,Dr. Heiko Heßenkemper,0.7589285714285714
CDU/CSU,Peter Altmaier,0.6785714285714286
DIE LINKE.,Dr. Sahra Wagenknecht,0.6428571428571429
BÜ90/GR,Irene Mihalic,0.625
DIE LINKE.,Dr. Gregor Gysi,0.5892857142857143
SPD,Sigmar Gabriel,0.5803571428571429
CDU/CSU,Dr. Helge Braun,0.5803571428571429
DIE LINKE.,Ingrid Remmers,0.49107142857142855
Fraktionslos,Dr. Frauke Petry,0.48214285714285715
DIE LINKE.,Thomas Nord,0.4642857142857143
SPD,Dr. Katarina Barley,0.42452830188679247
AfD,Ulrich Oehme,0.41964285714285715
DIE LINKE.,Michael Leutert,0.4107142857142857
CDU/CSU,Dr. Peter Ramsauer,0.4107142857142857
SPD,Andrea Nahles,0.4017857142857143
DIE LINKE.,Heidrun Bluhm-Förster,0.4
CDU/CSU,Dr. Peter Tauber,0.39285714285714285
AfD,Hansjörg Müller,0.375
SPD,Marco Bülow,0.36666666666666664
CDU/CSU,Dr. h. c. (NUACA) Albert H. Weiler,0.36363636363636365
Fraktionslos,Mario Mieruch,0.35714285714285715
DIE LINKE.,Pia Zimmermann,0.35714285714285715
BÜ90/GR,Beate Walter-Rosenheimer,0.3482142857142857
SPD,Heiko Maas,0.3392857142857143
DIE LINKE.,Pascal Meiser,0.33035714285714285
AfD,Nicole Höchst,0.33035714285714285
SPD,Niels Annen,0.32142857142857145
FDP,Dr. Hermann Otto Solms,0.3125
AfD,Frank Magnitz,0.30357142857142855
CDU/CSU,Andreas Scheuer,0.30357142857142855
SPD,Michael Roth (Heringen),0.30357142857142855
AfD,Armin-Paulus Hampel,0.30357142857142855
SPD,Hubertus Heil (Peine),0.29464285714285715
FDP,Thomas L. Kemmerich,0.29464285714285715
CDU/CSU,Dr. Hendrik Hoppenstedt,0.2857142857142857
SPD,Axel Schäfer (Bochum),0.2857142857142857
DIE LINKE.,Klaus Ernst,0.2857142857142857
CDU/CSU,Sybille Benning,0.2767857142857143
DIE LINKE.,Andreas Wagner,0.2767857142857143
AfD,Steffen Kotré,0.2767857142857143
SPD,Thomas Oppermann,0.2767857142857143
