Fraktion/Gruppe,Bezeichnung,nichtabgegeben
SPD,Marcus Held,1.0
FDP,Jimmy Schulz,0.9848484848484849
AfD,Dr. Heiko Heßenkemper,0.9242424242424242
CDU/CSU,Dr. Angela Merkel,0.7727272727272727
Fraktionslos,Dr. Frauke Petry,0.6666666666666666
CDU/CSU,Peter Altmaier,0.6666666666666666
DIE LINKE.,Ingrid Remmers,0.6515151515151515
DIE LINKE.,Dr. Sahra Wagenknecht,0.6212121212121212
CDU/CSU,Dr. Helge Braun,0.5303030303030303
SPD,Andrea Nahles,0.5
SPD,Sigmar Gabriel,0.5
CDU/CSU,Dr. Johann David Wadephul,0.4696969696969697
AfD,Ulrich Oehme,0.45454545454545453
DIE LINKE.,Andreas Wagner,0.45454545454545453
AfD,Verena Hartmann,0.42424242424242425
SPD,Niels Annen,0.42424242424242425
AfD,Hansjörg Müller,0.42424242424242425
DIE LINKE.,Michael Leutert,0.4090909090909091
CDU/CSU,Dr. h.c. Albert Weiler,0.4
CDU/CSU,Dr. Ralf Brauksiepe,0.4
CDU/CSU,Dr. Dr. h.c. Karl A. Lamers,0.4
AfD,Nicole Höchst,0.3939393939393939
Fraktionslos,Mario Mieruch,0.3939393939393939
DIE LINKE.,Thomas Nord,0.3939393939393939
CDU/CSU,Dr. Peter Tauber,0.3939393939393939
DIE LINKE.,Dr. Gregor Gysi,0.3939393939393939
FDP,Nicola Beer,0.3939393939393939
CDU/CSU,Yvonne Magwas,0.3787878787878788
SPD,Dr. Katarina Barley,0.3787878787878788
AfD,Dr. Marc Jongen,0.36363636363636365
CDU/CSU,Dr. h. c. (NUACA) Albert H. Weiler,0.36363636363636365
CDU/CSU,Dorothee Bär,0.36363636363636365
CDU/CSU,Dr. Hendrik Hoppenstedt,0.3484848484848485
CDU/CSU,Andreas Scheuer,0.3484848484848485
CDU/CSU,Dr. Gerd Müller,0.3484848484848485
CDU/CSU,Dr. Andreas Nick,0.3333333333333333
AfD,Christoph Neumann,0.3333333333333333
DIE LINKE.,Pascal Meiser,0.3333333333333333
AfD,Waldemar Herdt,0.3333333333333333
FDP,Thomas L. Kemmerich,0.3333333333333333
AfD,Frank Magnitz,0.3333333333333333
BÜ90/GR,Beate Walter-Rosenheimer,0.3181818181818182
DIE LINKE.,Sabine Zimmermann (Zwickau),0.3181818181818182
AfD,Steffen Kotré,0.30303030303030304
CDU/CSU,Karin Strenz,0.30303030303030304
CDU/CSU,Marlene Mortler,0.30303030303030304
FDP,Dr. Hermann Otto Solms,0.30303030303030304
CDU/CSU,Dr. Peter Ramsauer,0.30303030303030304
SPD,Heiko Maas,0.30303030303030304
SPD,Bärbel Bas,0.30303030303030304
DIE LINKE.,Kersten Steinke,0.30303030303030304
SPD,Uwe Schmidt,0.30303030303030304
BÜ90/GR,Ingrid Nestle,0.2903225806451613
SPD,Hubertus Heil (Peine),0.2878787878787879
FDP,Alexander Graf Lambsdorff,0.2878787878787879
SPD,Michael Roth (Heringen),0.2878787878787879
AfD,Armin-Paulus Hampel,0.2878787878787879
DIE LINKE.,Klaus Ernst,0.2878787878787879
BÜ90/GR,Dieter Janecek,0.2878787878787879
CDU/CSU,Mark Helfrich,0.2878787878787879
SPD,Detlev Pilger,0.2878787878787879
SPD,Uli Grötsch,0.2878787878787879
FDP,Alexander Kulitz,0.2727272727272727
SPD,Dr. Manja Schüle,0.2727272727272727
FDP,Christian Lindner,0.2727272727272727
CDU/CSU,Jens Spahn,0.2727272727272727
SPD,Anette Kramme,0.2727272727272727
SPD,Daniela Kolbe,0.2727272727272727
FDP,Katrin Helling-Plahr,0.2727272727272727
AfD,Markus Frohnmaier,0.2727272727272727
CDU/CSU,Sybille Benning,0.2727272727272727
